Nouns,Errors_in_non_count_form,Type,Condition_label,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Condition_beginning,Numeral,First_adjective,Second_adjective,Condition_end,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition,All_columns_with_multiple_spaces,All_columns_with_a_final_space
,,target1,A0,къща,къщи,къщи,f,sg,m,pl,Стопаните наториха,посадените между,две,,,къщи,дъб,дъбове,дъба,,A,Стопаните наториха посадените между две къщи,дъб,STE-001,Targets,STE-001_mono.wav,Targets/mono/STE-001_mono.wav,target1_A0_дъб_къща_две___A,4,,
,,target1,A1,къща,къщи,къщи,f,sg,m,pl,Стопаните наториха,посадените между,две,ниски,,къщи,дъб,дъбове,дъба,,A,Стопаните наториха посадените между две ниски къщи,дъб,STE-002,Targets,STE-002_mono.wav,Targets/mono/STE-002_mono.wav,target1_A1_дъб_къща_две_ниски__B,5,,
,,target1,A2,къща,къщи,къщи,f,sg,m,pl,Стопаните наториха,посадените между,две,ниски,дървени,къщи,дъб,дъбове,дъба,,A,Стопаните наториха посадените между две ниски дървени къщи,дъб,STE-003,Targets,STE-003_mono.wav,Targets/mono/STE-003_mono.wav,target1_A2_дъб_къща_две_ниски_дървени_C,6,,
,,target1,A0,боя,бои,бои,f,sg,m,pl,Студентите разучаваха,нарисуваните с,три,,,бои,портрет,портрети,портрета,,A,Студентите разучаваха нарисуваните с три бои,портрет,STE-004,Targets,STE-004_mono.wav,Targets/mono/STE-004_mono.wav,target1_A0_портрет_боя_три___C,4,,
,,target1,A1,боя,бои,бои,f,sg,m,pl,Студентите разучаваха,нарисуваните с,три,преливащи,,бои,портрет,портрети,портрета,,A,Студентите разучаваха нарисуваните с три преливащи бои,портрет,STE-005,Targets,STE-005_mono.wav,Targets/mono/STE-005_mono.wav,target1_A1_портрет_боя_три_преливащи__A,5,,
,,target1,A2,боя,бои,бои,f,sg,m,pl,Студентите разучаваха,нарисуваните с,три,преливащи,акварелни,бои,портрет,портрети,портрета,,A,Студентите разучаваха нарисуваните с три преливащи акварелни бои,портрет,STE-006,Targets,STE-006_mono.wav,Targets/mono/STE-006_mono.wav,target1_A2_портрет_боя_три_преливащи_акварелни_B,6,,
,,target1,A0,среща,срещи,срещи,f,sg,m,pl,Чиновниците обнародваха,гласуваните след,четири,,,срещи,закон,закони,закона,,A,Чиновниците обнародваха гласуваните след четири срещи,закон,STE-007,Targets,STE-007_mono.wav,Targets/mono/STE-007_mono.wav,target1_A0_закон_среща_четири___B,4,,
,,target1,A1,среща,срещи,срещи,f,sg,m,pl,Чиновниците обнародваха,гласуваните след,четири,изморителни,,срещи,закон,закони,закона,,A,Чиновниците обнародваха гласуваните след четири изморителни срещи,закон,STE-008,Targets,STE-008_mono.wav,Targets/mono/STE-008_mono.wav,target1_A1_закон_среща_четири_изморителни__C,5,,
,,target1,A2,среща,срещи,срещи,f,sg,m,pl,Чиновниците обнародваха,гласуваните след,четири,изморителни,извънредни,срещи,закон,закони,закона,,A,Чиновниците обнародваха гласуваните след четири изморителни извънредни срещи,закон,STE-009,Targets,STE-009_mono.wav,Targets/mono/STE-009_mono.wav,target1_A2_закон_среща_четири_изморителни_извънредни_A,6,,
,,target1,A0,улица,улици,улици,f,sg,m,pl,Геодезистите измериха,разположените между,пет,,,улици,блок,блокове,блока,,A,Геодезистите измериха разположените между пет улици,блок,STE-010,Targets,STE-010_mono.wav,Targets/mono/STE-010_mono.wav,target1_A0_блок_улица_пет___A,4,,
